Genre,Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Guardian film page,Country,
Romance,1,Brief Encounter,David Lean ,"Celia Johnson, Cyril Raymond, Stanley Holloway, Trevor Howard",1945,,http://www.imdb.com/title/tt0037558/,http://www.guardian.co.uk/film/movie/35664/brief.encounter,UK,
Romance,2,Casablanca,Michael Curtiz,"Claude Rains, Humphrey Bogart, Ingrid Bergman, Paul Henreid",1942,3,http://www.imdb.com/title/tt0034583/,http://www.guardian.co.uk/film/movie/36156/casablanca,USA,
Romance,3,Before Sunrise,Richard Linklater,Ethan Hawke and Julie Delpy,1995,,http://www.imdb.com/title/tt0112471/,http://www.guardian.co.uk/film/movie/58808/before-sunrise,USA,
Romance,3,Before Sunset,Richard Linklater,Ethan Hawke and Julie Delpy,2004,,http://www.imdb.com/title/tt0381681/awards,http://www.guardian.co.uk/film/movie/101181/before.sunset,USA,
Romance,4,Breathless,Jean-Luc Godard,"Jean Seberg, Jean-Paul Belmondo",1960,,http://www.imdb.com/title/tt0053472/,http://www.guardian.co.uk/film/movie/36219/a-bout-de-souffle,France,
Romance,5,In the Mood for Love,Kar Wai Wong,"Maggie Cheung Man-Yuk, Rebecca Pan, Tony Leung Chiu-Wai",2000,,http://www.imdb.com/title/tt0118694/,http://www.guardian.co.uk/film/movie/85442/in.the.mood.for.love,Hong Kong,
Romance,6,The Apartment,Billy Wilder,"Fred MacMurray, Jack Lemmon, Ray Walston, Shirley MacLaine",1960,,http://www.imdb.com/title/tt0053604/,http://www.guardian.co.uk/film/movie/36225/apartment,USA,
Romance,7,Hannah & Her Sisters,Woody Allen ,"Barbara Hershey, Carrie Fisher, Dianne Wiest, Julie Kavner, Mia Farrow, Michael Caine, Woody Allen",1986,3,http://www.imdb.com/title/tt0091167/,http://www.guardian.co.uk/film/movie/89162/hannah-and-her-sisters,USA,
Romance,8,Eternal Sunshine of the Spotless Mind,Michel Gondry,"Elijah Wood, Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Tom Wilkinson",2004,1,http://www.imdb.com/title/tt0338013/,http://www.guardian.co.uk/film/movie/100140/eternal.sunshine.of.the.spotless.mind,USA,
Romance,9,Room With a View,James Ivory,"Helena Bonham Carter, Julian Sands, Maggie Smith",1985,3,http://www.imdb.com/title/tt0091867/,http://www.guardian.co.uk/film/movie/77615/room-with-a-view,UK,
Romance,10,Jules et Jim,François Truffaut,"Henri Serre, Jeanne Moreau, Oscar Werner, Oskar Werner",1962,,http://www.imdb.com/title/tt0055032/,http://www.guardian.co.uk/film/movie/76699/jules.et.jim,France,
Romance,11,All That Heaven Allows,Douglas Sirk,"Jane Wyman, Rock Hudson",1955,,http://www.imdb.com/title/tt0047811/,http://www.guardian.co.uk/film/movie/94875/all-that-heaven-allows,USA,
Romance,12,Gone with the Wind,Victor Fleming,"Anne Rutherford, Clark Gable, Hattie McDaniel, Leslie Howard, Olivia De Havilland, Vivien Leigh",1939,8,http://www.imdb.com/title/tt0031381/,http://www.guardian.co.uk/film/movie/36144/gone.with.the.wind,USA,
Romance,13,An Affair to Remember,Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning",1957,,http://www.imdb.com/title/tt0050105/,http://www.guardian.co.uk/film/movie/82271/affair.to.remember,USA,
Romance,14,Umbrellas of Cherbourg,Jaques Demy ,"Anne Vernon, Catherine Deneuve, Nino Castelnuovo",1964,,http://www.imdb.com/title/tt0058450/,http://www.guardian.co.uk/film/movie/77848/umbrellas.of.cherbourg,France,
Romance,15,Lost in Translation,Sofia Coppola,"Bill Murray, Giovanni Ribisi, Scarlett Johansson",2003,1,http://www.imdb.com/title/tt0335266/,http://www.guardian.co.uk/film/movie/96936/lost.in.translation,USA,
Romance,15,Roman Holiday,William Wyler,"Audrey Hepburn, Gregory Peck",1953,3,http://www.imdb.com/title/tt0046250/,http://www.guardian.co.uk/film/movie/96156/roman-holiday,USA,
Romance,15,Wall-E,Andrew Stanton,"Ben Burtt, Fred Willard, Jeff Garlin, Kathy Najimy, Sigourney Weaver",2008,1,http://www.imdb.com/title/tt0910970/,http://www.guardian.co.uk/film/movie/125194/wall-e,USA,
Romance,18,My Night With Maud,Eric Rohmer," Francoise Fabian, Jean-Louis Trintignant",1969,,http://www.imdb.com/title/tt0064612/,http://www.guardian.co.uk/film/movie/77331/my-night-with-maud,France,
Romance,19,Voyage to Italy,Roberto Rossellini,Ingrid Bergman,1954,,http://www.imdb.com/title/tt0046511/,http://www.guardian.co.uk/film/movie/88522/voyage-to-italy,Italy,
Romance,20,Dr Zhivago,David Lean,"Geraldine Chaplin, Julie Christie, Omar Sharif",1965,5,http://www.imdb.com/title/tt0059113/,http://www.guardian.co.uk/film/movie/78519/dr-zhivago,USA,
Romance,21,Harold & Maude,Hal Ashby,"Bud Cort, Cyril Cusack, Ruth Gordon, Vivian Pickles",1971,,http://www.imdb.com/title/tt0067185/,http://www.guardian.co.uk/film/movie/78471/harold-and-maude,USA,
Romance,22,When Harry Met Sally,Rob Reiner,"Billy Crystal, Bruno Kirby, Carrie Fisher, Meg Ryan",1989,,http://www.imdb.com/title/tt0098635/,http://www.guardian.co.uk/film/movie/75869/when-harry-met-sally.,USA,
Romance,23,Say Anything....,Cameron crowe,"John Cusack, Ione Skye, John Mahoney",1989,,http://www.imdb.com/title/tt0098258/,,USA,
Romance,24,Fabulous Baker Boys,Steve Kloves,"Beau Bridges, Jeff Bridges, Michelle Pfeiffer",1989,,http://www.imdb.com/title/tt0097322/,http://www.guardian.co.uk/film/movie/134648/fabulous-baker-boys,USA,
Romance,25,A Matter of Life & Death," Emeric Pressburger, Michael Powell"," David Niven, Kim Hunter, Raymond Massey, Richard Attenborough, Roger Livesey",1946,,http://www.imdb.com/title/tt0038733/,http://www.guardian.co.uk/film/movie/36173/matter.of.life.and.death,UK,
Crime,1,Chinatown,Roman Polanski,"Faye Dunaway, Jack Nicholson, John Huston",1974,1,http://www.imdb.com/title/tt0071315/,http://www.guardian.co.uk/film/movie/36302/chinatown,USA,
Crime,2,Touch of Evil,Orson Welles,"Charlton Heston, Janet Leigh, Marlene Dietrich, Orson Welles, Zsa Zsa Gabor",1958,,http://www.imdb.com/title/tt0052311/,http://www.guardian.co.uk/film/movie/36217/touch.of.evil,USA,
Crime,3,Vertigo,Alfred Hitchcock,"Barbara Bel Geddes, James Stewart, Kim Novak",1958,,http://www.imdb.com/title/tt0052357/,http://www.guardian.co.uk/film/movie/34909/vertigo,USA,
Crime,4,Badlands,Terrence Malik,"Alan Vint, Martin Sheen, Ramon Bieri, Sissy Spacek, Warren Oates",1973,,http://www.imdb.com/title/tt0069762/,http://www.guardian.co.uk/film/movie/76181/badlands,USA,
Crime,5,Rashomon,Akira Kurosawa,"Machiko Kyo, Masayuki Mori, Toshiro Mifune",1950,,http://www.imdb.com/title/tt0042876/,http://www.guardian.co.uk/film/movie/83179/rashomon,Japan,
Crime,6,Double Indemnity,Billy Wilder,"Porter Hall, Jean Heather, Byron Barr, Richard Gaines, John Philliber, Edward G. Robinson, Fred MacMurray and Barbara Stanwyck",1944,,http://www.imdb.com/title/tt0036775/,http://www.guardian.co.uk/film/movie/36162/double.indemnity,USA,
Crime,7,Get Carter,Mike Hodges,"Brian Mosley, Britt Ekland, Geraldine Moffatt, John Osborne, Michael Caine",1971,,http://www.imdb.com/title/tt0067128/,http://www.guardian.co.uk/film/movie/36294/get.carter,UK,
Crime,8,Pulp Fiction,Quentin Tarantino,"Amanda Plummer, Bruce Willis, Eric Stoltz, Harvey Keitel, John Travolta, Rosanna Arquette, Samuel L Jackson, Steve Buscemi, Tim Roth, Uma Thurman",1994,1,http://www.imdb.com/title/tt0110912/,http://www.guardian.co.uk/film/movie/56612/pulp.fiction,USA,
Crime,9,Hidden, Michael Haneke,"Annie Girardot, Daniel Auteuil, Juliette Binoche, Maurice Benichou",2005,,http://www.imdb.com/title/tt0387898/,http://www.guardian.co.uk/film/movie/108597/hidden,France,
Crime,10,Goodfellas,Martin Scorsese," Frank Vincent, Joe Pesci, Lorraine Bracco, Ray Liotta, Robert De Niro",1990,1,http://www.imdb.com/title/tt0099685/,http://www.guardian.co.uk/film/movie/37702/goodfellas,USA,
Crime,11,The Conversation,"Francis Coppola, Francis Ford Coppola","Allen Garfield, Gene Hackman, John Cazale",1974,,http://www.imdb.com/title/tt0071360/,http://www.guardian.co.uk/film/movie/77114/conversation,USA,
Crime,12,Bonnie & Clyde,Arthur Penn,"Faye Dunaway, Gene Hackman, Michael J Pollard, Warren Beatty",1967,2,http://www.imdb.com/title/tt0061418/,http://www.guardian.co.uk/film/movie/76253/bonnie-and-clyde,USA,
Crime,13,The Killing,Stanley Kubrick," Coleen Gray, Elisha Cook Junior, Jay C Flippen, Sterling Hayden, Vince Edwards",1956,,http://www.imdb.com/title/tt0049406/,http://www.guardian.co.uk/film/movie/87920/killing,USA,
Crime,14,French Connection,William Friedkin,"Fernando Rey, Gene Hackman, Roy Schieder, Tony Lo Bianco",1971,5,http://www.imdb.com/title/tt0067116/,http://www.guardian.co.uk/film/movie/36293/french-connection,USA,
Crime,15,The Big Sleep,Howard Hawkes,"Bob Steele, Elisha Cook Jr, Elisha Cook Jr., Humphrey Bogart, Lauren Bacall",1946,,http://www.imdb.com/title/tt0038355/,http://www.guardian.co.uk/film/movie/34621/big-sleep,USA,
Crime,16,La Ceremonie,Claude Chabrol,"Isabelle Huppert, Jacqueline Bisset, Sandrine Bonnaire",1995,,http://www.imdb.com/title/tt0112769/,http://www.guardian.co.uk/film/movie/80763/ceremonie,France,
Crime,17,Point Blank,John Boorman,"Angie Dickinson, Keenan Wynn, Lee Marvin",1967,,http://www.imdb.com/title/tt0062138/,http://www.guardian.co.uk/film/movie/36266/point-blank,USA,
Crime,18,Hard Boiled,John Woo,"Chow Yun Fat, Tony Leung",1992,,http://www.imdb.com/title/tt0104684/,http://www.guardian.co.uk/film/movie/82687/hard-boiled,Hong Kong,
Crime,19,Long Good Friday,John McKenzie,"Bob Hoskins, Bryan Marshall, Dave King, Helen Mirren",1980,,http://www.imdb.com/title/tt0081070/,http://www.guardian.co.uk/film/movie/36322/long.good.friday,UK,
Crime,20,A Prophet,Jacques Audiard ,"Adel Bencherif, Niels Arestrup, Tahar Rahim, Tahar Ramin",2009,,http://www.imdb.com/title/tt1235166/,http://www.guardian.co.uk/film/movie/129970/prophet,France,
Crime,20,Heat,Michael Mann,"Al Pacino, Ashley Judd, Jon Voight, Robert De Niro, Tom Sizemore, Val Kilmer",1995,,http://www.imdb.com/title/tt0113277/,http://www.guardian.co.uk/film/movie/60365/heat,USA,
Crime,20,Scarface (1983),Brian De Palma,"Al Pacino, Mary Elizabeth Mastrantonio, Michelle Pfeiffer, Robert Loggia, Steven Bauer",1983,,http://www.imdb.com/title/tt0086250/,http://www.guardian.co.uk/film/movie/78370/scarface,USA,
Crime,23,Miller's Crossing,Joel Coen,"Albert Finney, Gabriel Byrne, Marcia Gay Harden",1990,,http://www.imdb.com/title/tt0100150/,http://www.guardian.co.uk/film/movie/78569/miller.s.crossing,USA,
Crime,24,Postman Always Rings Twice  (1942),Tay Garnett,"Cecil Kellaway, John Garfield, Lana Turner",1946,,http://www.imdb.com/title/tt0038854/,http://www.guardian.co.uk/film/movie/90190/postman-always-rings-twice,USA,
Crime,25,Jour Se Leve,Marcel Carne,"Annabella, Arletty, Jean Gabin",1939,,http://www.imdb.com/title/tt0031514/,http://www.guardian.co.uk/film/movie/76684/jour-se-leve,France,
Comedy,1,Comedy,Annie Hall,Woody Allen,"Carol Kane, Diane Keaton, Paul Simon, Tony Roberts, Woody Allen",1977,4,http://www.imdb.com/title/tt0075686/,http://www.guardian.co.uk/film/movie/36314/annie.hall,USA
Comedy,2,Comedy,Borat,Larry Charles,"Ken Davitian, Pamela Anderson , Sacha Baron Cohen",2006,,http://www.imdb.com/title/tt0443453/,http://www.guardian.co.uk/film/movie/114557/borat,USA
Comedy,3,Comedy,Some Like it Hot,Billy Wilder,"George Raft, Jack Lemmon, Joe E Brown, Marilyn Monroe, Tony Curtis",1959,1,http://www.imdb.com/title/tt0053291/,http://www.guardian.co.uk/film/movie/36223/some.like.it.hot,USA
Comedy,4,Comedy,Team America,Trey Parker,"Kristen Miller, Matt Stone, Trey Parker",2004,,http://www.imdb.com/title/tt0372588/,http://www.guardian.co.uk/film/movie/103000/team.america,USA
